{0, 0}
{1/3, 0}
{1, 0}
{2, 0}
{(sqrt(33) - 3)/6, 0}
{1/2, 1/(2*sqrt(3))}
{1, 1/sqrt(3)}
{3/2, sqrt(3)/2}
{7/6, sqrt(11/6)}
{1/6, (2*sqrt(3) - sqrt(11))/6}
{5/6, (2*sqrt(3) - sqrt(11))/6}
{2/3, (sqrt(11) - sqrt(3))/6}
{2/3, (3*sqrt(3) - sqrt(11))/6}
{sqrt(33)/6, 1/(2*sqrt(3))}
{(sqrt(33) + 1)/6, (sqrt(11) - sqrt(3))/6}
{(sqrt(33) - 1)/6, (sqrt(11) - sqrt(3))/6}
{(sqrt(33) - 2)/6, (2*sqrt(3) - sqrt(11))/6}
{(sqrt(33) - 4)/6, (2*sqrt(3) - sqrt(11))/6}
{(sqrt(33) + 7)/12, (sqrt(3) + sqrt(11))/12}
{(sqrt(33) + 7)/12, (3*sqrt(3) - sqrt(11))/12}
{(sqrt(33) + 5)/12, (5*sqrt(3) - sqrt(11))/12}
{(sqrt(33) + 5)/12, (sqrt(11) - sqrt(3))/12}
{(sqrt(33) + 3)/12, (3*sqrt(11) - 5*sqrt(3))/12}
{(sqrt(33) + 3)/12, (sqrt(3) + sqrt(11))/12}
{(sqrt(33) + 3)/12, (3*sqrt(3) - sqrt(11))/12}
{(sqrt(33) + 1)/12, (sqrt(11) - sqrt(3))/12}
{(15 - sqrt(33))/12, (sqrt(11) - sqrt(3))/4}
{(15 - sqrt(33))/12, (7*sqrt(3) - 3*sqrt(11))/12}
{(sqrt(33) - 1)/12, (3*sqrt(3) - sqrt(11))/12}
{(sqrt(33) - 3)/12, (sqrt(11) - sqrt(3))/12}
{(13 - sqrt(33))/12, (3*sqrt(3) - sqrt(11))/12}
{(11 - sqrt(33))/12, (sqrt(11) - sqrt(3))/12}
