{-9/4, 3*sqrt(7)/4}
{-19/8, 9*sqrt(7)/8}
{-5/2, 3*sqrt(7)/2}
{-35/16 - sqrt(33)/48, sqrt(7)*(sqrt(33) + 9)/16}
{-37/16 - sqrt(21)/16, -sqrt(3)/48 + 15*sqrt(7)/16}
{-19/8 - sqrt(21)/8, -sqrt(3)/24 + 9*sqrt(7)/8}
{-39/16 - 3*sqrt(21)/16, -sqrt(3)/16 + 21*sqrt(7)/16}
{-115/48 - sqrt(77)/16, -sqrt(11)/48 + 19*sqrt(7)/16}
{-109/48 - sqrt(21)/8 + sqrt(77)/16, -sqrt(3)/24 + sqrt(11)/48 + 13*sqrt(7)/16}
{-113/48 - sqrt(21)/8 + sqrt(77)/16, -sqrt(3)/24 + sqrt(11)/48 + 17*sqrt(7)/16}
{-7/3 - sqrt(77)/16 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(7)}
{-7/3 - 3*sqrt(21)/16 + sqrt(77)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(7)}
{-9/4 - sqrt(21)/16 - sqrt(33)/48, -sqrt(3)/48 + sqrt(231)/16 + 3*sqrt(7)/4}
{-37/16 - sqrt(21)/8 - sqrt(33)/48, -sqrt(3)/24 + sqrt(231)/16 + 15*sqrt(7)/16}
{-109/48 - 3*sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(231)/16 + 13*sqrt(7)/16}
{-107/48 - 3*sqrt(21)/16 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/16 + sqrt(11)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-109/48 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(231)/16 + 13*sqrt(7)/16}
{-107/48 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(231)/16 + 11*sqrt(7)/16}
{-53/24 - sqrt(21)/8 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/24 + sqrt(11)/48 + sqrt(231)/16 + 5*sqrt(7)/8}
{-13/6 - sqrt(21)/8 - sqrt(33)/48 + sqrt(77)/16, -sqrt(3)/24 + sqrt(11)/48 + sqrt(231)/16 + sqrt(7)/2}
{-229/96 - sqrt(77)/32 - sqrt(33)/96 + sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 37*sqrt(7)/32}
