{0, 0}
{5/6, -sqrt(11)/6}
{sqrt(33)/6, -sqrt(3)/6}
{1, 0}
{sqrt(33)/6, sqrt(3)/6}
{5/6, sqrt(11)/6}
{(5 + sqrt(33))/12, (5*sqrt(3) - sqrt(11))/12}
{(3 + sqrt(33))/12, (3*sqrt(11) - sqrt(3))/12}
{1/2, sqrt(3)/2}
{(sqrt(33) - 3)/12, (sqrt(3) + 3*sqrt(11))/12}
{(5 - sqrt(33))/12, (5*sqrt(3) + sqrt(11))/12}
{(-5 + sqrt(33))/12, (5*sqrt(3) + sqrt(11))/12}
{(3 - sqrt(33))/12, (3*sqrt(11) + sqrt(3))/12}
{-1/2, sqrt(3)/2}
{(-3 - sqrt(33))/12, (3*sqrt(11) - sqrt(3))/12}
{(-5 - sqrt(33))/12, (5*sqrt(3) - sqrt(11))/12}
{-5/6, sqrt(11)/6}
{-sqrt(33)/6, sqrt(3)/6}
{-1, 0}
{-sqrt(33)/6, -sqrt(3)/6}
{-5/6, -sqrt(11)/6}
{(-5 - sqrt(33))/12, (-5*sqrt(3) + sqrt(11))/12}
{(-3 - sqrt(33))/12, (-3*sqrt(11) + sqrt(3))/12}
{-1/2, -sqrt(3)/2}
{(3 - sqrt(33))/12, (-3*sqrt(11) - sqrt(3))/12}
{(-5 + sqrt(33))/12, (-5*sqrt(3) - sqrt(11))/12}
{(5 - sqrt(33))/12, (-5*sqrt(3) - sqrt(11))/12}
{(sqrt(33) - 3)/12, (-3*sqrt(11) - sqrt(3))/12}
{1/2, -sqrt(3)/2}
{(3 + sqrt(33))/12, (-3*sqrt(11) + sqrt(3))/12}
{(5 + sqrt(33))/12, (-5*sqrt(3) + sqrt(11))/12}
