{5/3, 0}
{sqrt(33)/12 + 5/4, -sqrt(11)/4 + 5*sqrt(3)/12}
{sqrt(33)/12 + 13/12, -sqrt(3)/12 + sqrt(11)/12}
{4/3, -sqrt(11)/6 + sqrt(3)/2}
{5*sin(-3*asin(sqrt(3)/6) + pi/6)/6 + sqrt(11)*sin(3*asin(sqrt(3)/6) + pi/3)/6 + 5/6, -sqrt(11)*(cos(3*asin(sqrt(3)/6) + pi/3) + 1)/6 + 5*sin(3*asin(sqrt(3)/6) + pi/3)/6}
{5/4 - sqrt(33)/12, -sqrt(11)/12 + 5*sqrt(3)/12}
{5/12 + sqrt(33)/12, -sqrt(11)/12 + 5*sqrt(3)/12}
{13/12 - sqrt(33)/12, sqrt(3)/12 + sqrt(11)/12}
{1/3, -sqrt(11)/6 + sqrt(3)/2}
{-5*sin(pi/6 + 3*asin(sqrt(3)/6))/6 + sqrt(11)*sin(-3*asin(sqrt(3)/6) + pi/3)/6 + 5/6, -sqrt(11)*(1 - sin(pi/6 + 3*asin(sqrt(3)/6)))/6 + 5*cos(pi/6 + 3*asin(sqrt(3)/6))/6}
{5/12 - sqrt(33)/12, -sqrt(11)/4 + 5*sqrt(3)/12}
{0, 0}
{5/6 - sqrt(33)/6, -sqrt(11)/6 + sqrt(3)/6}
{-1/6, -sqrt(11)/6}
{5/6 - sqrt(33)/6, -sqrt(11)/6 - sqrt(3)/6}
{0, -sqrt(11)/3}
{5/12 - sqrt(33)/12, -5*sqrt(3)/12 - sqrt(11)/12}
{7/12 - sqrt(33)/12, -5*sqrt(11)/12 + sqrt(3)/12}
{1/3, -sqrt(3)/2 - sqrt(11)/6}
{-sqrt(11)*sin(3*asin(sqrt(3)/6) + pi/3)/6 - 5*sin(-3*asin(sqrt(3)/6) + pi/6)/6 + 5/6, -5*sin(3*asin(sqrt(3)/6) + pi/3)/6 - sqrt(11)*(1 - cos(3*asin(sqrt(3)/6) + pi/3))/6}
{5/4 - sqrt(33)/12, -sqrt(11)/4 - 5*sqrt(3)/12}
{1/4 + sqrt(33)/4, -sqrt(3)/4 + sqrt(11)/4}
{1/2 + sqrt(33)/6, sqrt(3)/3}
{-1/4 + sqrt(33)/4, -sqrt(3)/12 + sqrt(11)/4}
{sqrt(3)*sin(3*asin(sqrt(3)/6) + pi/3)/6 + sqrt(33)*(cos(3*asin(sqrt(3)/6) + pi/3) + 1)/6, -sqrt(3)*(sin(-3*asin(sqrt(3)/6) + pi/6) + 1)/6 + sqrt(33)*sin(3*asin(sqrt(3)/6) + pi/3)/6}
{-5/12 + sqrt(33)/4, sqrt(11)/12 + sqrt(3)/4}
{1/4 + sqrt(33)/12, -sqrt(3)/12 + sqrt(11)/4}
{-1/2 + sqrt(33)/6, sqrt(3)/3}
{-1/4 + sqrt(33)/12, -sqrt(3)/4 + sqrt(11)/4}
{sqrt(33)*(1 - sin(pi/6 + 3*asin(sqrt(3)/6)))/6 + sqrt(3)*cos(pi/6 + 3*asin(sqrt(3)/6))/6, sqrt(3)*(-1 + sin(pi/6 + 3*asin(sqrt(3)/6)))/6 + sqrt(33)*cos(pi/6 + 3*asin(sqrt(3)/6))/6}
{-5/6 + sqrt(33)/6, -sqrt(3)/6 + sqrt(11)/6}
{-1 + sqrt(33)/6, -sqrt(3)/6}
{0, -sqrt(3)/3}
{-sqrt(3)*sin(3*asin(sqrt(3)/6))/6 + sqrt(33)*(1 - cos(3*asin(sqrt(3)/6)))/6, -sqrt(33)*sin(3*asin(sqrt(3)/6))/6 + sqrt(3)*(-1 + cos(3*asin(sqrt(3)/6)))/6}
{-5/12 + sqrt(33)/12, -7*sqrt(3)/12 + sqrt(11)/12}
{-1/4 + sqrt(33)/12, -sqrt(11)/4 - sqrt(3)/12}
{-1/2 + sqrt(33)/6, -2*sqrt(3)/3}
{1/4 + sqrt(33)/12, -sqrt(11)/4 - sqrt(3)/4}
{-sqrt(3)*sin(3*asin(sqrt(3)/6) + pi/3)/6 + sqrt(33)*(1 - cos(3*asin(sqrt(3)/6) + pi/3))/6, -sqrt(33)*sin(3*asin(sqrt(3)/6) + pi/3)/6 + sqrt(3)*(-1 + cos(3*asin(sqrt(3)/6) + pi/3))/6}
{5/12 + sqrt(33)/12, -7*sqrt(3)/12 - sqrt(11)/12}
{-1/4 + sqrt(33)/4, -sqrt(11)/4 - sqrt(3)/4}
{3/2, sqrt(3)/2}
{sqrt(33)/12 + 3/4, sin(asin(sqrt(3)/6) + pi/3)}
{17/12 - sqrt(33)/12, sin(2*asin(sqrt(3)/6) + pi/3)}
{sqrt(33)/12 + 7/12, cos(-2*asin(sqrt(3)/6) + pi/6)}
{5/4 - sqrt(33)/12, cos(-asin(sqrt(3)/6) + pi/6)}
{1/2, sqrt(3)/2}
{3/4 - sqrt(33)/12, cos(asin(sqrt(3)/6) + pi/6)}
{7/12 - sqrt(33)/12, cos(pi/6 + 2*asin(sqrt(3)/6))}
{1/6, sin(2*asin(sqrt(3)/6))}
{1 - sqrt(33)/6, sqrt(3)/6}
{1 - sqrt(33)/6, -sqrt(3)/6}
{1/6, -sqrt(11)/6}
{7/12 - sqrt(33)/12, -5*sqrt(3)/12 + sqrt(11)/12}
{3/4 - sqrt(33)/12, -sqrt(11)/4 + sqrt(3)/12}
{1/2, -sqrt(3)/2}
{5/4 - sqrt(33)/12, -sqrt(11)/4 - sqrt(3)/12}
{sqrt(33)/12 + 7/12, -5*sqrt(3)/12 - sqrt(11)/12}
{17/12 - sqrt(33)/12, -5*sqrt(3)/12 - sqrt(11)/12}
{sqrt(33)/12 + 3/4, -sqrt(11)/4 - sqrt(3)/12}
{3/2, -sqrt(3)/2}
{-1/4 + sqrt(33)/4, sqrt(3)/4 + sqrt(11)/4}
{5/12 + sqrt(33)/12, sqrt(11)/12 + 7*sqrt(3)/12}
{-5/12 + sqrt(33)/4, sqrt(11)/12 + 7*sqrt(3)/12}
{1/4 + sqrt(33)/12, sqrt(3)/4 + sqrt(11)/4}
{-1/2 + sqrt(33)/6, 2*sqrt(3)/3}
{-1/4 + sqrt(33)/12, sqrt(3)/12 + sqrt(11)/4}
{-5/12 + sqrt(33)/12, -sqrt(11)/12 + 7*sqrt(3)/12}
{-5/6 + sqrt(33)/6, sqrt(3)/6 + sqrt(11)/6}
{0, sqrt(3)/3}
{-1 + sqrt(33)/6, sqrt(3)/6}
{-5/6 + sqrt(33)/6, -sqrt(11)/6 + sqrt(3)/6}
{-5/12 + sqrt(33)/12, -sqrt(3)/4 + sqrt(11)/12}
{-1/4 + sqrt(33)/12, -sqrt(11)/4 + sqrt(3)/4}
{-1/2 + sqrt(33)/6, -sqrt(3)/3}
{1/4 + sqrt(33)/12, -sqrt(11)/4 + sqrt(3)/12}
{-5/12 + sqrt(33)/4, -sqrt(3)/4 - sqrt(11)/12}
{5/12 + sqrt(33)/12, -sqrt(3)/4 - sqrt(11)/12}
{-1/4 + sqrt(33)/4, -sqrt(11)/4 + sqrt(3)/12}
{1/2 + sqrt(33)/6, -sqrt(3)/3}
{1/4 + sqrt(33)/4, -sqrt(11)/4 + sqrt(3)/4}
{5/4 - sqrt(33)/12, 5*sqrt(3)/12 + sqrt(11)/4}
{13/12 - sqrt(33)/12, sqrt(3)/12 + 5*sqrt(11)/12}
{1/3, sqrt(11)/6 + sqrt(3)/2}
{7/12 - sqrt(33)/12, -sqrt(3)/12 + 5*sqrt(11)/12}
{5/12 - sqrt(33)/12, sqrt(11)/12 + 5*sqrt(3)/12}
{0, sqrt(11)/3}
{5/6 - sqrt(33)/6, sqrt(3)/6 + sqrt(11)/6}
{-1/6, sin(2*asin(sqrt(3)/6))}
{5/6 - sqrt(33)/6, -sqrt(3)/6 + sqrt(11)/6}
{5/12 - sqrt(33)/12, -5*sqrt(3)/12 + sqrt(11)/4}
{7/12 - sqrt(33)/12, -sqrt(11)/12 + sqrt(3)/12}
{1/3, -sqrt(3)/2 + sqrt(11)/6}
{13/12 - sqrt(33)/12, -sqrt(11)/12 - sqrt(3)/12}
{5/12 + sqrt(33)/12, -5*sqrt(3)/12 + sqrt(11)/12}
{5/4 - sqrt(33)/12, -5*sqrt(3)/12 + sqrt(11)/12}
{sqrt(33)/12 + 7/12, -sqrt(11)/12 - sqrt(3)/12}
{4/3, -sqrt(3)/2 + sqrt(11)/6}
{sqrt(33)/12 + 13/12, -sqrt(11)/12 + sqrt(3)/12}
{sqrt(33)/12 + 5/4, -5*sqrt(3)/12 + sqrt(11)/4}
{5/6, 5*sqrt(3)/6}
{sqrt(33)/6, 5*sqrt(3)/6}
{2/3, sqrt(11)/6 + sqrt(3)/2}
{-1/12 + sqrt(33)/12, -sqrt(11)/12 + 11*sqrt(3)/12}
{1/6, sqrt(11)/6 + sqrt(3)/3}
{0, -sqrt(11)/6 + 5*sqrt(3)/6}
{-5/12 + sqrt(33)/12, sqrt(11)/12 + 5*sqrt(3)/12}
{5/12 - sqrt(33)/12, -sqrt(11)/12 + 7*sqrt(3)/12}
